file	kind	fields
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.447
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.685ms ns_per_row=27.4
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.7141040000000001, 0.683112, 0.685991, 0.708597, 0.799753, 0.6551750000000001, 0.6949369999999999, 0.6860689999999999, 0.68355, 0.6856679999999999, 0.6687190000000001, 0.652035, 0.673137, 0.672705, 0.6550189999999999, 0.691189, 0.987101, 0.695813, 0.667593, 0.665157]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair1.log	raw	raw(S0prime_count_star): samples_ms=[0.053918, 0.053851, 0.053819, 0.053811, 0.057354, 0.055091, 0.053812, 0.063382, 0.055459, 0.053796, 0.053934, 0.053767, 0.05382, 0.053829999999999996, 0.053799, 0.053745999999999995, 0.053815, 0.057196, 0.057485999999999995, 0.054004]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.319
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.951ms ns_per_row=38.0
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	raw	raw(S0_hot_sql_e2e): samples_ms=[1.137497, 0.862737, 0.756688, 0.8331989999999999, 0.741225, 1.17453, 1.127009, 1.0793700000000002, 1.1075709999999999, 1.0394510000000001, 1.1716529999999998, 1.106289, 0.8176140000000001, 0.800554, 0.73932, 0.827569, 0.74421, 0.762403, 1.178787, 1.078244]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair2.log	raw	raw(S0prime_count_star): samples_ms=[0.053849, 0.057662, 0.055014, 0.053826000000000006, 0.065222, 0.055381, 0.054008999999999995, 0.053813999999999994, 0.053708, 0.053698, 0.053728, 0.053682, 0.053736, 0.053692000000000004, 0.053739999999999996, 0.053770000000000005, 0.053787, 0.05373, 0.053754, 0.053744]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.640
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.753ms ns_per_row=30.1
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.9966499999999999, 1.04317, 0.952403, 0.7973910000000001, 0.741417, 0.753894, 0.712317, 0.752512, 0.7154550000000001, 0.729937, 0.721294, 0.788841, 0.771501, 0.745965, 0.711265, 0.787438, 1.057177, 1.018885, 0.741165, 0.685091]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair3.log	raw	raw(S0prime_count_star): samples_ms=[0.053902, 0.053801, 0.053784, 0.053721000000000005, 0.053726, 0.053699000000000004, 0.053783000000000004, 0.053716, 0.053742, 0.053722, 0.053761, 0.053735, 0.05369, 0.056480999999999996, 0.054944, 0.053770000000000005, 0.053791, 0.07925700000000001, 0.055506, 0.053859]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	index_warm_ms	knn_profile_bench: index_warm_ms=18.874
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.664ms ns_per_row=26.6
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.6398210000000001, 0.632499, 0.664822, 0.634654, 0.642076, 0.657722, 0.686817, 0.67235, 0.6741969999999999, 0.6590590000000001, 0.662783, 0.689483, 0.64593, 0.662342, 0.665435, 0.6329779999999999, 0.807242, 0.7421220000000001, 0.797488, 0.714524]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	stage	stage(S0prime_count_star): rows=25000 median=0.055ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair4.log	raw	raw(S0prime_count_star): samples_ms=[0.053796, 0.057816, 0.055381, 0.054919, 0.089915, 0.056587, 0.055032, 0.054911, 0.054801, 0.054854, 0.054796000000000004, 0.054693, 0.054762000000000005, 0.054781, 0.054765999999999995, 0.054724, 0.054025, 0.053783000000000004, 0.056566, 0.054955]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.549
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.703ms ns_per_row=28.1
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.668806, 0.6553009999999999, 0.76137, 0.664156, 0.7331259999999999, 0.659436, 0.7906070000000001, 0.726753, 0.6791969999999999, 0.702358, 0.692851, 0.6614680000000001, 0.716796, 0.687415, 0.756877, 0.748261, 0.7057460000000001, 0.7039369999999999, 0.758448, 0.697304]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_f16_pair5.log	raw	raw(S0prime_count_star): samples_ms=[0.053777, 0.056005000000000006, 0.054883999999999995, 0.053745999999999995, 0.058306000000000004, 0.055366, 0.053935, 0.053827, 0.053727000000000004, 0.053737, 0.053891999999999995, 0.053746999999999996, 0.05368, 0.053778, 0.053682, 0.053666, 0.053779, 0.053726, 0.053696, 0.053726]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	index_warm_ms	knn_profile_bench: index_warm_ms=18.934
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.692ms ns_per_row=27.7
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.716047, 0.70011, 0.655241, 0.694245, 0.719348, 0.6816409999999999, 0.686292, 0.684686, 0.678721, 0.693391, 0.730326, 0.7059380000000001, 0.696618, 0.675645, 0.729286, 0.6902269999999999, 0.6620079999999999, 0.675299, 0.694017, 0.6651009999999999]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	raw	raw(S0prime_count_star): samples_ms=[0.05394, 0.053829, 0.053881, 0.053841, 0.053878999999999996, 0.05382, 0.053903, 0.053762, 0.053777, 0.053772, 0.053824, 0.053863, 0.053769, 0.055999, 0.054932999999999996, 0.053754, 0.08846799999999999, 0.055483, 0.053839, 0.05379]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.393
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.698ms ns_per_row=27.9
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	raw	raw(S0_hot_sql_e2e): samples_ms=[1.06233, 1.045773, 0.9459339999999999, 0.693766, 0.716499, 0.732073, 0.826556, 0.7014900000000001, 0.668416, 0.662058, 0.672454, 0.65487, 0.692342, 0.6460549999999999, 0.656385, 0.714507, 0.749888, 0.682312, 0.693068, 0.725933]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	raw	raw(S0prime_count_star): samples_ms=[0.053849, 0.056014, 0.054977, 0.053885999999999996, 0.057970999999999995, 0.055465, 0.053978, 0.05385, 0.053757, 0.053848, 0.053816, 0.053812, 0.053720000000000004, 0.053711999999999996, 0.053686, 0.053714, 0.053752999999999995, 0.053784, 0.053893, 0.056153999999999996]
target/bench-knn-precision-resident/20260907T190235Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	kernel_isa	knn_profile_bench: kernel_isa dot=Avx2Fma f16=F16c i8=Avx2Widen
