file	kind	fields
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.525
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.661ms ns_per_row=26.4
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.623798, 0.756286, 0.637367, 0.6673920000000001, 0.633017, 0.6721910000000001, 0.645178, 0.672441, 0.653066, 0.6779769999999999, 0.695372, 0.664663, 0.666776, 0.643459, 0.669188, 0.657489, 0.6748620000000001, 0.610676, 0.655305, 0.6525730000000001]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair1.log	raw	raw(S0prime_count_star): samples_ms=[0.060804000000000004, 0.055470000000000005, 0.053855, 0.05382, 0.053829, 0.053809, 0.053871, 0.053807, 0.053841, 0.057228, 0.054921, 0.053862, 0.053762, 0.053819, 0.053829999999999996, 0.053863999999999995, 0.053847, 0.053805, 0.053766, 0.060513000000000004]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.411
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.673ms ns_per_row=26.9
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.653131, 0.6568309999999999, 0.660189, 0.682838, 0.677447, 0.667559, 0.667716, 0.6629090000000001, 0.638562, 0.72547, 0.7211150000000001, 0.679527, 0.641946, 0.680076, 0.689554, 0.676659, 0.714288, 0.648018, 0.668761, 0.708208]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair2.log	raw	raw(S0prime_count_star): samples_ms=[0.056362, 0.054849, 0.053726, 0.053770000000000005, 0.053794, 0.053769, 0.053813, 0.05382, 0.053748000000000004, 0.053807999999999995, 0.058375, 0.055449, 0.053793, 0.053779999999999994, 0.053853, 0.053812, 0.054008999999999995, 0.053779, 0.05384, 0.056159999999999995]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.234
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.652ms ns_per_row=26.1
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.651447, 0.677005, 0.655853, 0.633175, 0.696628, 0.6564599999999999, 0.67042, 0.66684, 0.648508, 0.65269, 0.652551, 0.643297, 0.6012320000000001, 0.61634, 0.67679, 0.609849, 0.669898, 0.635339, 0.641303, 0.628883]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair3.log	raw	raw(S0prime_count_star): samples_ms=[0.053904, 0.053785, 0.053824, 0.053869, 0.05376, 0.061146, 0.055671000000000005, 0.053835999999999995, 0.053899, 0.053729, 0.053838000000000004, 0.053776000000000004, 0.053793, 0.053798000000000006, 0.056181, 0.054826, 0.053844, 0.053891, 0.053797, 0.053815]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair4.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.791
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair4.log	stage	stage(S0_hot_sql_e2e): rows=25000 median=0.676ms ns_per_row=27.0
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair4.log	raw	raw(S0_hot_sql_e2e): samples_ms=[0.654144, 0.6848569999999999, 0.6767610000000001, 0.68048, 0.650849, 0.651508, 0.6270979999999999, 0.642096, 0.690553, 0.6394989999999999, 0.664328, 0.679749, 0.986736, 0.797354, 0.705714, 0.652789, 0.648925, 0.67955, 0.702746, 0.675527]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair4.log	stage	stage(S0prime_count_star): rows=25000 median=0.054ms ns_per_row=2.2
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair4.log	raw	raw(S0prime_count_star): samples_ms=[0.053915000000000005, 0.068727, 0.055498000000000006, 0.053943000000000005, 0.053807999999999995, 0.053847, 0.053918, 0.053812, 0.053711999999999996, 0.053838000000000004, 0.056824, 0.054955, 0.053875, 0.053755000000000004, 0.053798000000000006, 0.053787, 0.053816, 0.053784, 0.053806, 0.061003]
target/bench-knn-i8-resident/20260907T162254Z/hot_scale1_dim128_brute_force_beforehnsw_i8_pair5.log	index_warm_ms	knn_profile_bench: index_warm_ms=19.345
